Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.30,-.04,-.40,-.12,-.01,-.81,-.52,-.29,-.15,-.09,-.03,.05,.67
1881,-.09,-.19,.01,-.37,.11,-.07,-.91,-.49,-.22,.10,.12,-.05,-.07,.59
1882,-.11,-.23,-.01,-.33,-.04,.01,-1.41,-.30,-.17,-.05,-.04,.02,.04,.62
1883,-.17,-.29,-.06,-.36,-.16,-.01,-.18,-.59,-.26,-.17,-.14,-.03,.07,.49
1884,-.28,-.44,-.14,-.63,-.14,-.14,-1.31,-.67,-.49,-.12,-.15,-.19,-.02,.64
1885,-.33,-.44,-.24,-.67,-.12,-.27,-1.50,-.71,-.48,-.05,-.19,-.33,-.15,.82
1886,-.31,-.44,-.20,-.59,-.19,-.21,-1.58,-.52,-.42,-.20,-.17,-.20,-.20,.58
1887,-.36,-.45,-.28,-.54,-.29,-.28,-1.76,-.53,-.32,-.29,-.29,-.27,-.26,.31
1888,-.17,-.24,-.11,-.43,.11,-.29,-1.30,-.44,-.26,.07,.14,-.31,-.22,.15
1889,-.11,-.18,-.04,-.30,.08,-.16,-.68,-.24,-.29,.02,.15,-.15,-.15,.44
1890,-.35,-.39,-.32,-.47,-.36,-.22,-1.14,-.58,-.28,-.26,-.47,-.17,-.27,.14
1891,-.23,-.26,-.19,-.44,-.07,-.21,-1.13,-.36,-.37,.01,-.16,-.18,-.24,-.16
1892,-.28,-.40,-.15,-.45,-.29,-.08,-1.15,-.68,-.18,-.32,-.26,.02,-.21,.08
1893,-.32,-.48,-.16,-.53,-.37,-.05,-.70,-.57,-.48,-.42,-.32,.07,-.20,-.05
1894,-.32,-.39,-.24,-.33,-.36,-.24,-.95,-.34,-.20,-.49,-.23,-.15,-.35,-.38
1895,-.23,-.31,-.16,-.41,-.09,-.26,-.67,-.54,-.28,-.14,-.03,-.20,-.32,-.59
1896,-.11,-.19,-.03,-.36,.11,-.15,-.88,-.39,-.23,.07,.14,-.15,-.13,.25
1897,-.11,-.16,-.05,-.36,.18,-.24,-.55,-.48,-.25,.15,.20,-.19,-.27,.40
1898,-.27,-.29,-.26,-.36,-.21,-.26,-1.14,-.26,-.24,-.17,-.26,-.28,-.21,.37
1899,-.18,-.21,-.15,-.25,-.12,-.19,-1.01,-.11,-.16,-.15,-.09,-.15,-.22,.58
1900,-.08,-.09,-.06,-.21,.18,-.30,-.53,-.17,-.16,.11,.26,-.29,-.29,.27
1901,-.15,-.12,-.18,-.16,-.03,-.30,-.35,-.11,-.15,-.05,-.02,-.27,-.33,.25
1902,-.27,-.32,-.22,-.52,-.03,-.35,-1.27,-.51,-.33,-.01,-.05,-.28,-.43,-.05
1903,-.36,-.37,-.36,-.46,-.27,-.38,-.16,-.43,-.56,-.22,-.33,-.35,-.40,-.50
1904,-.47,-.47,-.46,-.51,-.46,-.44,-.12,-.61,-.56,-.42,-.50,-.37,-.49,-1.33
1905,-.26,-.28,-.23,-.41,-.08,-.36,-.01,-.24,-.63,-.10,-.05,-.33,-.37,-.34
1906,-.22,-.23,-.21,-.26,-.18,-.23,-.24,-.07,-.40,-.18,-.18,-.20,-.22,-.72
1907,-.38,-.46,-.30,-.59,-.29,-.29,-.54,-.73,-.52,-.28,-.31,-.21,-.37,-1.21
1908,-.42,-.44,-.40,-.48,-.43,-.36,-.20,-.55,-.52,-.39,-.46,-.29,-.48,.67
1909,-.48,-.49,-.48,-.53,-.47,-.44,-.71,-.63,-.45,-.42,-.52,-.37,-.52,-.58
1910,-.43,-.43,-.43,-.41,-.48,-.38,-.53,-.25,-.50,-.46,-.50,-.33,-.45,.15
1911,-.44,-.42,-.46,-.42,-.42,-.48,-.24,-.42,-.48,-.41,-.44,-.44,-.52,.04
1912,-.36,-.46,-.25,-.60,-.17,-.37,-.48,-.80,-.51,-.25,-.09,-.36,-.29,-1.64
1913,-.34,-.41,-.26,-.44,-.26,-.35,-.46,-.34,-.52,-.37,-.15,-.28,-.40,-1.05
1914,-.15,-.18,-.11,-.25,-.05,-.18,-.32,-.17,-.29,-.09,-.01,-.15,-.18,-.37
